py5_name,java_name,decorator,type,category,subcategory,implementation,comments
X,X,,static field,constants,,SKIP,
Y,Y,,static field,constants,,SKIP,
Z,Z,,static field,constants,,SKIP,
JAVA2D,JAVA2D,,static field,constants,,JAVA,
P2D,P2D,,static field,constants,,JAVA,
P3D,P3D,,static field,constants,,JAVA,
OPENGL,OPENGL,,static field,constants,,JAVA,
FX2D,FX2D,,static field,constants,,JAVA,
PDF,PDF,,static field,constants,,JAVA,
SVG,SVG,,static field,constants,,JAVA,
DXF,DXF,,static field,constants,,JAVA,
OTHER,OTHER,,static field,constants,,SKIP,
WINDOWS,WINDOWS,,static field,constants,,SKIP,
MACOS,MACOS,,static field,constants,,SKIP,
LINUX,LINUX,,static field,constants,,SKIP,
MACOSX,MACOSX,,static field,constants,,SKIP,deprecated
platformNames,platformNames,,static field,constants,,SKIP,
EPSILON,EPSILON,,static field,constants,,JAVA,
MAX_FLOAT,MAX_FLOAT,,static field,constants,,JAVA,
MIN_FLOAT,MIN_FLOAT,,static field,constants,,JAVA,
MAX_INT,MAX_INT,,static field,constants,,JAVA,
MIN_INT,MIN_INT,,static field,constants,,JAVA,
VERTEX,VERTEX,,static field,constants,,JAVA,
BEZIER_VERTEX,BEZIER_VERTEX,,static field,constants,,JAVA,
QUADRATIC_VERTEX,QUADRATIC_VERTEX,,static field,constants,,JAVA,
CURVE_VERTEX,CURVE_VERTEX,,static field,constants,,JAVA,
BREAK,BREAK,,static field,constants,,JAVA,
QUAD_BEZIER_VERTEX,QUAD_BEZIER_VERTEX,,static field,constants,,JAVA,
PI,PI,,static field,constants,,PYTHON,
HALF_PI,HALF_PI,,static field,constants,,PYTHON,
THIRD_PI,THIRD_PI,,static field,constants,,PYTHON,
QUARTER_PI,QUARTER_PI,,static field,constants,,PYTHON,
TWO_PI,TWO_PI,,static field,constants,,PYTHON,
TAU,TAU,,static field,constants,,PYTHON,
DEG_TO_RAD,DEG_TO_RAD,,static field,constants,,PYTHON,
RAD_TO_DEG,RAD_TO_DEG,,static field,constants,,PYTHON,
WHITESPACE,WHITESPACE,,static field,constants,,JAVA,
RGB,RGB,,static field,constants,,JAVA,
ARGB,ARGB,,static field,constants,,JAVA,
HSB,HSB,,static field,constants,,JAVA,
ALPHA,ALPHA,,static field,constants,,JAVA,
TIFF,TIFF,,static field,constants,,SKIP,
TARGA,TARGA,,static field,constants,,SKIP,
JPEG,JPEG,,static field,constants,,SKIP,
GIF,GIF,,static field,constants,,SKIP,
BLUR,BLUR,,static field,constants,,JAVA,
GRAY,GRAY,,static field,constants,,JAVA,
INVERT,INVERT,,static field,constants,,JAVA,
OPAQUE,OPAQUE,,static field,constants,,JAVA,
POSTERIZE,POSTERIZE,,static field,constants,,JAVA,
THRESHOLD,THRESHOLD,,static field,constants,,JAVA,
ERODE,ERODE,,static field,constants,,JAVA,
